Subject_ID,Treatment ,Trial_number,Sound_exemplars,Beaufort_Scale,Cloud_cover ,Date,Time,Size,Depth,Noticeable Flow,Plume_presence,Retractions,Latency_to_close,Latency_to_reemerge,Notes,Video notes
1,Control,1,,0,0,Jan_28_2020,15:44,0.1,0.63,0,0,2,5,28.1,,
2,Flow,1,,0,1,Jan_28_2020,11:08,0.07,0.9,0,0,11,3.05,18.71,,
3,Sound,1,B1,0,1,Jan_28_2020,11:16,0.11,0.84,0,0,5,5.04,19.55,Sound seemed loud,
4,Flow_and_Sound,1,B2,0,1,Jan_28_2020,11:25,0.13,1.02,0,0,2,4.92,,didnt poke as hard,
5,Control,1,,0,1,Jan_28_2020,11:30,0.13,0.66,0,0,8,1.34,,Kept getting scared,"bad poke, did not fully close "
6,Flow,1,,1,0.8,Jan_28_2020,11:43,0.085,0.5,0,0,4,3.73,5.72,,
7,Sound,1,B3,0,0,Jan_28_2020,11:48,0.114,0.934,0,0,7,6.58,52.7,,
8,Flow_and_Sound,1,B4,0,0,Jan_28_2020,11:53,0.142,0.54,0,0,5,2.85,170.65,vid,
9,Control,1,,0,0,Jan_28_2020,12:04,0.0987,0.66,0,0,4,4.33,40.42,vid,
10,Flow,1,,0,0.1,Jan_28_2020,12:13,0.131,0.58,0,0,8,6.4,17.5,,
11,Sound,1,B5,0,0.1,Jan_28_2020,12:17,0.072,0.85,0,0,2,1.4,,Eraser on clam macroalgae over clam during normalization,eraser on shell algae hitting clam 
12,Flow_and_Sound,1,B1,0,0.3,Jan_28_2020,12:26,0.11,0.39,0,0,12,4.8,74.9,,
13,Control,1,,0,0.15,Jan_28_2020,12:33,0.088,0.43,0,0,7,5.1,12.13,,
14,Flow,1,,0,0.15,Jan_28_2020,12:38,0.132,0.56,0,0,7,5.43,32.56,VID,
15,Sound,1,B2,0,0.1,Jan_28_2020,12:48,0.12,0.59,0,0,4,3.23,90.73,,
16,Flow_and_Sound,1,B3,0,0.05,Jan_28_2020,12:53,0.08,0.629,0,0,3,5.37,30.46,vid,
17,Control,1,,0,0.1,Jan_28_2020,12:56,0.123,0.83,0,0,2,7.4,,hard poke,
18,Flow,1,,0,0,Jan_28_2020,13:10,0.142,0.45,0,0,3,6.44,27.46,,
19,Sound,1,B4,0,0,Jan_28_2020,13:12,0.132,0.67,0,0,9,4.07,,vid bad poke,
20,Flow_and_Sound,1,B5,0,0.05,Jan_28_2020,13:19,0.079,0.64,0,0,4,4.5,253.67,,
21,Control,1,,0,0.2,Jan_28_2020,13:46,0.112,0.83,0,0,2,6.5,25.96,,
22,Flow,1,,0,0.25,Jan_28_2020,13:53,0.11,0.67,0,0,8,7.14,33.66,GoPro died,GO PRO DIED/ GET LTR
23,Sound,1,B1,0,0.05,Jan_28_2020,14:03,0.073,0.77,0,0,1,1.97,61.33,,
24,Flow_and_Sound,1,B2,1,0.2,Jan_28_2020,14:43,0.097,0.43,0,0,6,5.5,11.77,,
25,Control,1,,1,0.2,Jan_28_2020,14:46,0.095,0.78,0,0,2,4.2,,Hard poke turbinaria in the way during normalization,
26,Flow,1,,1,0,Jan_28_2020,14:57,0.099,1.02,1,0,6,4.27,8.77,Noticeable ambient flow,
27,Sound,1,B3,2,0.05,Jan_28_2020,15:03,0.083,0.73,0,0,6,0.7,10.6,,
28,Flow_and_Sound,1,B4,0,0,Jan_28_2020,15:28,0.084,0.81,0,0,6,5.6,4.2,,
29,Control,1,,0,0,Jan_28_2020,15:31,0.128,0.9,0,0,0,3.5,36.44,,
30,Flow,1,,0,0,Jan_28_2020,15:34,0.119,0.63,1,0,4,6.04,37.34,Noticeable ambient flow,
31,Sound,1,B5,0,0,Jan_28_2020,15:14,0.1,0.59,0,0,6,3.93,77.87,,
32,Flow_and_Sound,1,B1,0,0,Jan_28_2020,15:12,0.11,0.47,0,0,5,5.37,21.7,,
